weekday;dia;hora;periodo;demand
Tuesday;12/11/2019;7;30;4
Tuesday;12/11/2019;8;0;53
Tuesday;12/11/2019;8;30;4
Tuesday;12/11/2019;9;0;3
Tuesday;12/11/2019;9;30;2
Tuesday;12/11/2019;10;0;22
Tuesday;12/11/2019;10;30;7
Tuesday;12/11/2019;11;0;30
Tuesday;12/11/2019;11;30;20
Tuesday;12/11/2019;12;0;10
Tuesday;12/11/2019;12;30;11
Tuesday;12/11/2019;13;0;15
Tuesday;12/11/2019;13;30;10
Tuesday;12/11/2019;14;0;9
Tuesday;12/11/2019;14;30;10
Tuesday;12/11/2019;15;0;16
Tuesday;12/11/2019;15;30;6
Tuesday;12/11/2019;16;0;11
Tuesday;12/11/2019;16;30;6
Tuesday;12/11/2019;17;0;6
Tuesday;12/11/2019;17;30;4
Tuesday;12/11/2019;18;0;1
Tuesday;12/11/2019;18;30;4
Tuesday;12/11/2019;20;0;1
Wednesday;13/11/2019;4;30;2
Wednesday;13/11/2019;5;0;13
Wednesday;13/11/2019;5;30;14
Wednesday;13/11/2019;6;0;10
Wednesday;13/11/2019;6;30;12
Wednesday;13/11/2019;7;0;15
Wednesday;13/11/2019;8;0;13
Wednesday;13/11/2019;8;30;13
Wednesday;13/11/2019;9;0;6
Wednesday;13/11/2019;9;30;18
Wednesday;13/11/2019;10;0;31
Wednesday;13/11/2019;10;30;16
Wednesday;13/11/2019;11;0;14
Wednesday;13/11/2019;11;30;6
Wednesday;13/11/2019;12;0;11
Wednesday;13/11/2019;12;30;5
Wednesday;13/11/2019;13;0;3
Wednesday;13/11/2019;13;30;6
Wednesday;13/11/2019;14;0;9
Wednesday;13/11/2019;14;30;23
Wednesday;13/11/2019;15;0;11
Wednesday;13/11/2019;15;30;15
Wednesday;13/11/2019;16;0;3
Wednesday;13/11/2019;16;30;6
Wednesday;13/11/2019;17;0;2
Wednesday;13/11/2019;17;30;5
Wednesday;13/11/2019;18;0;6
Wednesday;13/11/2019;18;30;6
Wednesday;13/11/2019;19;0;3
Wednesday;13/11/2019;19;30;2
Thursday;14/11/2019;4;0;2
Thursday;14/11/2019;4;30;4
Thursday;14/11/2019;5;0;1
Thursday;14/11/2019;5;30;7
Thursday;14/11/2019;6;0;1
Thursday;14/11/2019;6;30;19
Thursday;14/11/2019;7;0;42
Thursday;14/11/2019;7;30;16
Thursday;14/11/2019;8;0;13
Thursday;14/11/2019;8;30;9
Thursday;14/11/2019;9;0;16
Thursday;14/11/2019;9;30;6
Thursday;14/11/2019;10;0;6
Thursday;14/11/2019;10;30;22
Thursday;14/11/2019;11;0;9
Thursday;14/11/2019;11;30;18
Thursday;14/11/2019;12;0;40
Thursday;14/11/2019;12;30;11
Thursday;14/11/2019;13;0;10
Thursday;14/11/2019;13;30;9
Thursday;14/11/2019;14;0;7
Thursday;14/11/2019;14;30;12
Thursday;14/11/2019;15;0;8
Thursday;14/11/2019;15;30;8
Thursday;14/11/2019;16;0;1
Thursday;14/11/2019;16;30;9
Thursday;14/11/2019;17;0;4
Thursday;14/11/2019;17;30;9
Thursday;14/11/2019;18;0;2
Friday;15/11/2019;7;0;12
Friday;15/11/2019;7;30;6
Friday;15/11/2019;8;0;66
Friday;15/11/2019;8;30;17
Friday;15/11/2019;9;0;15
Friday;15/11/2019;9;30;7
Friday;15/11/2019;10;0;11
Friday;15/11/2019;10;30;19
Friday;15/11/2019;11;0;14
Friday;15/11/2019;11;30;16
Friday;15/11/2019;12;0;6
Friday;15/11/2019;12;30;7
Friday;15/11/2019;13;0;9
Friday;15/11/2019;13;30;4
Friday;15/11/2019;14;0;4
Friday;15/11/2019;14;30;6
Friday;15/11/2019;15;0;3
Friday;15/11/2019;15;30;1
Friday;15/11/2019;16;0;1
Friday;15/11/2019;16;30;1
Friday;15/11/2019;22;0;1
Saturday;16/11/2019;6;30;1
Saturday;16/11/2019;7;0;5
Saturday;16/11/2019;7;30;20
Saturday;16/11/2019;8;0;18
Saturday;16/11/2019;8;30;40
Saturday;16/11/2019;9;0;7
Saturday;16/11/2019;9;30;17
Saturday;16/11/2019;10;0;17
Saturday;16/11/2019;10;30;11
Saturday;16/11/2019;11;0;10
Saturday;16/11/2019;11;30;15
Saturday;16/11/2019;12;0;8
Saturday;16/11/2019;12;30;6
Saturday;16/11/2019;13;0;3
Saturday;16/11/2019;13;30;3
Saturday;16/11/2019;14;0;1
Saturday;16/11/2019;14;30;2
Saturday;16/11/2019;15;0;5
Saturday;16/11/2019;15;30;1
Sunday;17/11/2019;7;0;31
Sunday;17/11/2019;7;30;17
Sunday;17/11/2019;8;0;35
Sunday;17/11/2019;8;30;4
Sunday;17/11/2019;9;0;7
Sunday;17/11/2019;9;30;11
Sunday;17/11/2019;10;0;31
Sunday;17/11/2019;10;30;22
Sunday;17/11/2019;11;0;11
Sunday;17/11/2019;11;30;36
Sunday;17/11/2019;12;0;7
Sunday;17/11/2019;12;30;10
Sunday;17/11/2019;13;0;7
Sunday;17/11/2019;13;30;8
